Time Period,3 Month Maturity,1 Year Maturity,2 Year Maturity,3 Year Maturity,5 Year Maturity,10 Year Maturity
10/1/1983,8.64,9.81,10.34,10.87,11.28,11.54
11/1/1983,8.76,9.94,10.45,10.96,11.41,11.69
12/1/1983,9,10.11,10.62,11.13,11.54,11.83
1/1/1984,8.9,9.9,10.415,10.93,11.37,11.67
2/1/1984,9.09,10.04,10.545,11.05,11.54,11.84
3/1/1984,9.52,10.59,11.09,11.59,12.02,12.32
4/1/1984,9.69,10.9,11.44,11.98,12.37,12.63
5/1/1984,9.83,11.66,12.205,12.75,13.17,13.41
6/1/1984,9.87,12.08,12.63,13.18,13.48,13.56
7/1/1984,10.12,12.03,12.555,13.08,13.27,13.36
8/1/1984,10.47,11.82,12.16,12.5,12.68,12.72
9/1/1984,10.37,11.58,11.96,12.34,12.53,12.52
10/1/1984,9.74,10.9,11.375,11.85,12.06,12.16
11/1/1984,8.61,9.82,10.36,10.9,11.33,11.57
12/1/1984,8.06,9.33,9.945,10.56,11.07,11.5
1/1/1985,7.76,9.02,9.725,10.43,10.93,11.38
2/1/1985,8.27,9.29,9.92,10.55,11.13,11.51
3/1/1985,8.52,9.86,10.455,11.05,11.52,11.86
4/1/1985,7.95,9.14,9.815,10.49,11.01,11.43
5/1/1985,7.48,8.46,9.105,9.75,10.34,10.85
6/1/1985,6.95,7.8,8.425,9.05,9.6,10.16
7/1/1985,7.08,7.86,8.52,9.18,9.7,10.31
8/1/1985,7.14,8.05,8.68,9.31,9.81,10.33
9/1/1985,7.1,8.07,8.72,9.37,9.81,10.37
10/1/1985,7.16,8.01,8.63,9.25,9.69,10.24
11/1/1985,7.24,7.88,8.38,8.88,9.28,9.78
12/1/1985,7.1,7.67,8.035,8.4,8.73,9.26
1/1/1986,7.07,7.73,8.07,8.41,8.68,9.19
2/1/1986,7.06,7.61,7.855,8.1,8.34,8.7
3/1/1986,6.56,7.03,7.165,7.3,7.46,7.78
4/1/1986,6.06,6.44,6.65,6.86,7.05,7.3
5/1/1986,6.15,6.65,6.96,7.27,7.52,7.71
6/1/1986,6.21,6.73,7.07,7.41,7.64,7.8
7/1/1986,5.83,6.27,6.565,6.86,7.06,7.3
8/1/1986,5.53,5.93,6.21,6.49,6.8,7.17
9/1/1986,5.21,5.77,6.195,6.62,6.92,7.45
10/1/1986,5.18,5.72,6.14,6.56,6.83,7.43
11/1/1986,5.35,5.8,6.13,6.46,6.76,7.25
12/1/1986,5.53,5.87,6.15,6.43,6.67,7.11
1/1/1987,5.43,5.78,6.095,6.41,6.64,7.08
2/1/1987,5.59,5.96,6.26,6.56,6.79,7.25
3/1/1987,5.59,6.03,6.305,6.58,6.79,7.25
4/1/1987,5.64,6.5,6.91,7.32,7.57,8.02
5/1/1987,5.66,7,7.51,8.02,8.26,8.61
6/1/1987,5.67,6.8,7.31,7.82,8.02,8.4
7/1/1987,5.69,6.68,7.21,7.74,8.01,8.45
8/1/1987,6.04,7.03,7.53,8.03,8.32,8.76
9/1/1987,6.4,7.67,8.17,8.67,8.94,9.42
10/1/1987,6.13,7.59,8.17,8.75,9.08,9.52
11/1/1987,5.69,6.96,7.475,7.99,8.35,8.86
12/1/1987,5.77,7.17,7.65,8.13,8.45,8.99
1/1/1988,5.81,6.99,7.43,7.87,8.18,8.67
2/1/1988,5.66,6.64,7.01,7.38,7.71,8.21
3/1/1988,5.7,6.71,7.105,7.5,7.83,8.37
4/1/1988,5.91,7.01,7.42,7.83,8.19,8.72
5/1/1988,6.26,7.4,7.82,8.24,8.58,9.09
6/1/1988,6.46,7.49,7.855,8.22,8.49,8.92
7/1/1988,6.73,7.75,8.095,8.44,8.66,9.06
8/1/1988,7.06,8.17,8.47,8.77,8.94,9.26
9/1/1988,7.24,8.09,8.33,8.57,8.69,8.98
10/1/1988,7.35,8.11,8.27,8.43,8.51,8.8
11/1/1988,7.76,8.48,8.6,8.72,8.79,8.96
12/1/1988,8.07,8.99,9.05,9.11,9.09,9.11
1/1/1989,8.27,9.05,9.125,9.2,9.15,9.09
2/1/1989,8.53,9.25,9.285,9.32,9.27,9.17
3/1/1989,8.82,9.57,9.59,9.61,9.51,9.36
4/1/1989,8.65,9.36,9.38,9.4,9.3,9.18
5/1/1989,8.43,8.98,8.98,8.98,8.91,8.86
6/1/1989,8.15,8.44,8.405,8.37,8.29,8.28
7/1/1989,7.88,7.89,7.86,7.83,7.83,8.02
8/1/1989,7.9,8.18,8.155,8.13,8.09,8.11
9/1/1989,7.75,8.22,8.24,8.26,8.17,8.19
10/1/1989,7.64,7.99,8.005,8.02,7.97,8.01
11/1/1989,7.69,7.77,7.785,7.8,7.81,7.87
12/1/1989,7.63,7.72,7.745,7.77,7.75,7.84
1/1/1990,7.64,7.92,8.025,8.13,8.12,8.21
2/1/1990,7.74,8.11,8.25,8.39,8.42,8.47
3/1/1990,7.9,8.35,8.49,8.63,8.6,8.59
4/1/1990,7.77,8.4,8.59,8.78,8.77,8.79
